Categoria,Sinal,Português,Status_Vídeo,Prioridade,Data_Gravação,Intérprete,Observações
Validação Jogo,PODER,Poder,⏳ Pendente,Média,,,"Verbo/substantivo - força"
Validação Jogo,MUNDO,Mundo,⏳ Pendente,Média,,,"Globo - mãos em círculo ou traçam globo"
Validação Jogo,TEMPO,Tempo,⏳ Pendente,Média,,,"Conceito abstrato - movimento no eixo temporal"
Validação Jogo,FALAR,Falar,⏳ Pendente,Média,,,"Verbo - comunicação"
Validação Jogo,OUVIR,Ouvir,⏳ Pendente,Média,,,"Verbo - audição (conceitual para surdos)"
Validação Jogo,SINAL,Sinal,⏳ Pendente,Média,,,"Meta - o que é um sinal em Libras"
Validação Jogo,LINGUA,Língua,⏳ Pendente,Média,,,"Linguagem"
Validação Jogo,SURDO,Surdo,⏳ Pendente,Média,,,"Identidade - sinal fundamental"
Validação Jogo,OUVINTE,Ouvinte,⏳ Pendente,Média,,,"Identidade - pessoa que ouve"
Validação Jogo,GENTE,Gente,⏳ Pendente,Média,,,"Pessoas"
Validação Jogo,CIDADE,Cidade,⏳ Pendente,Média,,,"Localização"
Validação Jogo,BRASIL,Brasil,⏳ Pendente,Média,,,"País"
Validação Jogo,LETRAS,Letras,⏳ Pendente,Média,,,"Educação - alfabeto"
Validação Jogo,CHOVER,Chover,⏳ Pendente,Média,,,"Verbo - clima, movimento visual de chuva"
Validação Jogo,PEDRA,Pedra,⏳ Pendente,Média,,,"Objeto - natural"
Validação Jogo,IRMAO,Irmão,⏳ Pendente,Média,,,"Parentesco - sinal derivado de FAMILIA"
Validação Jogo,IRMA,Irmã,⏳ Pendente,Média,,,"Parentesco - sinal derivado de FAMILIA"
Validação Jogo,AGORA,Agora,⏳ Pendente,Média,,,"Tempo presente"
Validação Jogo,ANTES,Antes,⏳ Pendente,Média,,,"Tempo passado"
Validação Jogo,DEPOIS,Depois,⏳ Pendente,Média,,,"Tempo futuro"
Validação Jogo,RAPIDO,Rápido,⏳ Pendente,Média,,,"Adjetivo - velocidade"
Validação Jogo,BONITO,Bonito,⏳ Pendente,Média,,,"Adjetivo - beleza"
Validação Jogo,FORTE,Forte,⏳ Pendente,Média,,,"Adjetivo - força"
Validação Jogo,FRACO,Fraco,⏳ Pendente,Média,,,"Adjetivo - fraqueza"
Validação Jogo,LONGE,Longe,⏳ Pendente,Média,,,"Espaço - distância"
Validação Jogo,PERTO,Perto,⏳ Pendente,Média,,,"Espaço - proximidade"
Validação Jogo,LARGO,Largo,⏳ Pendente,Média,,,"Espaço - largura"
Validação Jogo,CURTO,Curto,⏳ Pendente,Média,,,"Espaço - comprimento reduzido"
Validação Jogo,NORTE,Norte,⏳ Pendente,Média,,,"Direção - geograficamente"
Validação Jogo,SANTA,Santa,⏳ Pendente,Média,,,"Estado de Santa Catarina (local)"
Validação Jogo,NOSSO,Nosso,⏳ Pendente,Média,,,"Pronome possessivo"
Validação Jogo,NOSSA,Nossa,⏳ Pendente,Média,,,"Pronome possessivo"
Validação Jogo,NOSSOS,Nossos,⏳ Pendente,Média,,,"Pronome possessivo"
Validação Jogo,QUERO,Quero,⏳ Pendente,Média,,,"Verbo - desejo"
Validação Jogo,POSSO,Posso,⏳ Pendente,Média,,,"Verbo - capacidade"
Validação Jogo,SABER,Saber,⏳ Pendente,Média,,,"Verbo - conhecimento"
Validação Jogo,TENHO,Tenho,⏳ Pendente,Média,,,"Verbo - posse"
Validação Jogo,TEMOS,Temos,⏳ Pendente,Média,,,"Verbo - posse (plural)"
Validação Jogo,VAMOS,Vamos,⏳ Pendente,Média,,,"Verbo - movimento"
Validação Jogo,HAVER,Haver,⏳ Pendente,Média,,,"Verbo - existência"
Validação Jogo,FAZER,Fazer,⏳ Pendente,Média,,,"Verbo - ação"
Validação Jogo,PODER,Poder,⏳ Pendente,Média,,,"Verbo - capacidade (duplicado)"
Validação Jogo,QUERER,Querer,⏳ Pendente,Média,,,"Verbo - desejo (duplicado)"
Validação Jogo,DEVER,Dever,⏳ Pendente,Média,,,"Verbo - obrigação"
Capitais - Brasil,BRASILIA,Brasília,⏳ Pendente,Média,,,Capital federal - Distrito Federal
Capitais - Brasil,RIO DE JANEIRO,Rio de Janeiro,⏳ Pendente,Média,,,Capital do RJ
Capitais - Brasil,SAO PAULO,São Paulo,⏳ Pendente,Média,,,Capital do SP
Capitais - Brasil,BELO HORIZONTE,Belo Horizonte,⏳ Pendente,Média,,,Capital do MG
Capitais - Brasil,SALVADOR,Salvador,⏳ Pendente,Média,,,Capital da BA
Capitais - Brasil,CURITIBA,Curitiba,⏳ Pendente,Média,,,Capital do PR
Capitais - Brasil,PORTO ALEGRE,Porto Alegre,⏳ Pendente,Média,,,Capital do RS
Capitais - Brasil,MANAUS,Manaus,⏳ Pendente,Média,,,Capital do AM
Capitais - Brasil,PALMAS,Palmas,⏳ Pendente,Média,,,Capital do TO
Capitais - Brasil,MACAPA,Macapá,⏳ Pendente,Média,,,Capital do AP
Capitais - Brasil,BOA VISTA,Boa Vista,⏳ Pendente,Média,,,Capital do RR
Capitais - Brasil,GOIANIA,Goiânia,⏳ Pendente,Média,,,Capital do GO
Capitais - Brasil,CUIABA,Cuiabá,⏳ Pendente,Média,,,Capital do MT
Capitais - Brasil,CAMPO GRANDE,Campo Grande,⏳ Pendente,Média,,,Capital do MS
Capitais - Brasil,TERESINA,Teresina,⏳ Pendente,Média,,,Capital do PI
Capitais - Brasil,ARACAJU,Aracaju,⏳ Pendente,Média,,,Capital do SE
Capitais - Brasil,BELEM,Belém,⏳ Pendente,Média,,,Capital do PA
Capitais - Brasil,RECIFE,Recife,⏳ Pendente,Média,,,Capital do PE
Capitais - Brasil,MACEIO,Maceió,⏳ Pendente,Média,,,Capital de AL
Capitais - Brasil,FORTALEZA,Fortaleza,⏳ Pendente,Média,,,Capital do CE
Capitais - Brasil,NATAL,Natal,⏳ Pendente,Média,,,Capital do RN
Capitais - Brasil,JOAO PESSOA,João Pessoa,⏳ Pendente,Média,,,Capital da PB
Capitais - Brasil,SAO LUIS,São Luís,⏳ Pendente,Média,,,Capital do MA
Capitais - Brasil,FLORIANOPOLIS,Florianópolis,⏳ Pendente,Média,,,Capital de SC - sede da Libras.se
Capitais - Brasil,PORTO VELHO,Porto Velho,⏳ Pendente,Média,,,Capital de RO
Capitais - Brasil,RIO BRANCO,Rio Branco,⏳ Pendente,Média,,,Capital do AC
Capitais - Brasil,VITORIA,Vitória,⏳ Pendente,Média,,,Capital do ES
Países - América Latina,ARGENTINA,Argentina,⏳ Pendente,Média,,,País - Cone Sul
Países - América Latina,CHILE,Chile,⏳ Pendente,Média,,,País - Cone Sul
Países - América Latina,PERU,Peru,⏳ Pendente,Média,,,País - Andino
Países - América Latina,COLOMBIA,Colômbia,⏳ Pendente,Média,,,País - Andino
Países - América Latina,URUGUAI,Uruguai,⏳ Pendente,Média,,,País - Cone Sul
Países - América Latina,PARAGUAI,Paraguai,⏳ Pendente,Média,,,País - Cone Sul
Países - América Latina,BOLIVIA,Bolívia,⏳ Pendente,Média,,,País - Andino
Países - América Latina,VENEZUELA,Venezuela,⏳ Pendente,Média,,,País - Andino
Países - América Latina,EQUADOR,Equador,⏳ Pendente,Média,,,País - Andino
Países - América Latina,COSTA RICA,Costa Rica,⏳ Pendente,Média,,,País - América Central
Países - América do Norte,ESTADOS UNIDOS,Estados Unidos,⏳ Pendente,Média,,,USA - potência
Países - América do Norte,CANADA,Canadá,⏳ Pendente,Média,,,País - América do Norte
Países - América do Norte,MEXICO,México,⏳ Pendente,Média,,,País - América Central
Países - Europa,REINO UNIDO,Reino Unido,⏳ Pendente,Média,,,GB - Europa
Países - Europa,FRANCA,França,⏳ Pendente,Média,,,Francês - Europa
Países - Europa,ALEMANHA,Alemanha,⏳ Pendente,Média,,,Alemão - Europa
Países - Europa,ITALIA,Itália,⏳ Pendente,Média,,,Italiano - Europa
Países - Europa,ESPANHA,Espanha,⏳ Pendente,Média,,,Espanhol - Europa
Países - Europa,PORTUGAL,Portugal,⏳ Pendente,Média,,,Português - Europa
Países - Europa,HOLANDA,Holanda,⏳ Pendente,Média,,,Holandês - Europa
Países - Europa,SUICA,Suíça,⏳ Pendente,Média,,,Multilíngue - Europa
Países - Europa,BELGICA,Bélgica,⏳ Pendente,Média,,,Bélgica - Europa
Países - Europa,POLONIA,Polônia,⏳ Pendente,Média,,,Polonês - Europa
Países - Europa,GRECIA,Grécia,⏳ Pendente,Média,,,Grego - Europa
Países - Europa,AUSTRIA,Áustria,⏳ Pendente,Média,,,Austríaco - Europa
Países - Ásia,INDIA,Índia,⏳ Pendente,Média,,,Asiático - sul
Países - Ásia,CHINA,China,⏳ Pendente,Média,,,Asiático - leste
Países - Ásia,JAPAO,Japão,⏳ Pendente,Média,,,Asiático - leste
Países - Ásia,COREIA DO SUL,Coreia do Sul,⏳ Pendente,Média,,,Asiático - leste
Países - Ásia,TAILANDIA,Tailândia,⏳ Pendente,Média,,,Asiático - sudeste
Países - Ásia,VIETNA,Vietnã,⏳ Pendente,Média,,,Asiático - sudeste
Países - Ásia,INDONESIA,Indonésia,⏳ Pendente,Média,,,Asiático - sudeste
Países - Ásia,SINGAPURA,Singapura,⏳ Pendente,Média,,,Asiático - sudeste
Países - Oceania,AUSTRALIA,Austrália,⏳ Pendente,Média,,,Oceania
Países - Oceania,NOVA ZELANDIA,Nova Zelândia,⏳ Pendente,Média,,,Oceania
Times - Brasil,FLAMENGO,Flamengo,⏳ Pendente,Média,,,Rio de Janeiro - futebol
Times - Brasil,CORINTHIANS,Corinthians,⏳ Pendente,Média,,,São Paulo - futebol
Times - Brasil,SAO PAULO FC,São Paulo,⏳ Pendente,Média,,,São Paulo - futebol
Times - Brasil,VASCO DA GAMA,Vasco da Gama,⏳ Pendente,Média,,,Rio de Janeiro - futebol
Times - Brasil,PALMEIRAS,Palmeiras,⏳ Pendente,Média,,,São Paulo - futebol
Times - Brasil,BOTAFOGO,Botafogo,⏳ Pendente,Média,,,Rio de Janeiro - futebol
Times - Brasil,SANTOS,Santos,⏳ Pendente,Média,,,São Paulo - futebol
Times - Brasil,ATLETICO MINEIRO,Atlético Mineiro,⏳ Pendente,Média,,,Minas Gerais - futebol
Times - Brasil,CRUZEIRO,Cruzeiro,⏳ Pendente,Média,,,Minas Gerais - futebol
Times - Brasil,GREMIO,Grêmio,⏳ Pendente,Média,,,Rio Grande do Sul - futebol
Times - Brasil,INTERNACIONAL,Internacional,⏳ Pendente,Média,,,Rio Grande do Sul - futebol
Times - Brasil,BAHIA,Bahia,⏳ Pendente,Média,,,Bahia - futebol
Times - Brasil,SPORT,Sport,⏳ Pendente,Média,,,Pernambuco - futebol
Times - Brasil,CEARA,Ceará,⏳ Pendente,Média,,,Ceará - futebol
Times - Brasil,FORTALEZA EC,Fortaleza,⏳ Pendente,Média,,,Ceará - futebol
Times - Brasil,CHAPECOENSE,Chapecoense,⏳ Pendente,Média,,,Santa Catarina - futebol
Profissões,MEDICO,Médico,⏳ Pendente,Média,,,Saúde - profissional
Profissões,PROFESSOR,Professor,⏳ Pendente,Média,,,Educação - profissional
Profissões,ADVOGADO,Advogado,⏳ Pendente,Média,,,Jurídico - profissional
Profissões,JORNALISTA,Jornalista,⏳ Pendente,Média,,,Mídia - profissional
Profissões,ENGENHEIRO,Engenheiro,⏳ Pendente,Média,,,Técnico - profissional
Profissões,INTERPRETE,Intérprete,⏳ Pendente,Alta,,,Comunicação - profissional (IMPORTANTE para Libras.se)
Profissões,TRADUTOR,Tradutor,⏳ Pendente,Média,,,Comunicação - profissional
Profissões,ENFERMEIRO,Enfermeiro,⏳ Pendente,Média,,,Saúde - profissional
Profissões,PSICOLOGO,Psicólogo,⏳ Pendente,Média,,,Saúde mental - profissional
Profissões,MOTORISTA,Motorista,⏳ Pendente,Média,,,Transporte - profissional
Profissões,COZINHEIRO,Cozinheiro,⏳ Pendente,Média,,,Serviços - profissional
Profissões,DESIGNER,Designer,⏳ Pendente,Média,,,Criativo - profissional
Profissões,PROGRAMADOR,Programador,⏳ Pendente,Média,,,Tecnologia - profissional
Profissões,EMPRESARIO,Empresário,⏳ Pendente,Média,,,Negócios - profissional
Profissões,CONTADOR,Contador,⏳ Pendente,Média,,,Administrativo - profissional
Profissões,ELETRICISTA,Eletricista,⏳ Pendente,Média,,,Técnico - profissional
Profissões,PEDREIRO,Pedreiro,⏳ Pendente,Média,,,Construção - profissional
Administração Pública,PREFEITURA,Prefeitura,⏳ Pendente,Média,,,Governo municipal
Administração Pública,CAMARA DE VEREADORES,Câmara de Vereadores,⏳ Pendente,Média,,,Legislativo municipal
Administração Pública,ASSEMBLEIA LEGISLATIVA,Assembleia Legislativa,⏳ Pendente,Média,,,Legislativo estadual
Administração Pública,GOVERNO,Governo,⏳ Pendente,Média,,,Administração geral
Administração Pública,VEREADOR,Vereador,⏳ Pendente,Média,,,Cargo municipal
Administração Pública,PREFEITO,Prefeito,⏳ Pendente,Média,,,Cargo municipal
Administração Pública,ELEICAO,Eleição,⏳ Pendente,Média,,,Democracia
Administração Pública,VOTO,Voto,⏳ Pendente,Média,,,Democracia
Administração Pública,PROJETO DE LEI,Projeto de Lei,⏳ Pendente,Média,,,Legislativo
Administração Pública,AUDIENCIA PUBLICA,Audiência Pública,⏳ Pendente,Média,,,Democracia participativa
Administração Pública,SECRETARIA,Secretaria,⏳ Pendente,Média,,,Administração
Administração Pública,MINISTERIO,Ministério,⏳ Pendente,Média,,,Governo federal
Administração Pública,TRIBUNAL,Tribunal,⏳ Pendente,Média,,,Justiça
Administração Pública,ORCAMENTO,Orçamento,⏳ Pendente,Média,,,Administração financeira
Administração Pública,EMENDA PARLAMENTAR,Emenda Parlamentar,⏳ Pendente,Média,,,Legislativo financeiro
Saúde,HOSPITAL,Hospital,⏳ Pendente,Média,,,Infraestrutura de saúde
Saúde,CONSULTA,Consulta,⏳ Pendente,Média,,,Serviço médico
Saúde,REMEDIO,Remédio,⏳ Pendente,Média,,,Medicação
Saúde,DOR,Dor,⏳ Pendente,Média,,,Sintoma
Saúde,FEBRE,Febre,⏳ Pendente,Média,,,Sintoma
Saúde,VACINA,Vacina,⏳ Pendente,Média,,,Prevenção
Saúde,EXAME,Exame,⏳ Pendente,Média,,,Diagnóstico
Saúde,SANGUE,Sangue,⏳ Pendente,Média,,,Biologia
Saúde,DIABETES,Diabetes,⏳ Pendente,Média,,,Doença crônica
Saúde,PRESSAO ALTA,Pressão Alta,⏳ Pendente,Média,,,Doença crônica
Saúde,AUTISMO,Autismo,⏳ Pendente,Média,,,Condição neurológica
Saúde,DEPRESSAO,Depressão,⏳ Pendente,Média,,,Saúde mental
Saúde,ANSIEDADE,Ansiedade,⏳ Pendente,Média,,,Saúde mental
Saúde,EMERGENCIA,Emergência,⏳ Pendente,Média,,,Urgência médica
Saúde,AMBULANCIA,Ambulância,⏳ Pendente,Média,,,Transporte médico
